지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
경기도 의정부역 임대료,,47.6,16.5,,47.6,16.5
경기도 의정부역 효용비율,,100,34.7,,100,34.7
경기도 이천종합터미널 임대료,4.5,16.8,10.6,4.5,16.8,10.6
경기도 이천종합터미널 효용비율,26.72,100,62.7,26.72,100,62.7
경기도 인계동 임대료,,20.1,,,20.1,
경기도 인계동 효용비율,,100,,,100,
경기도 탄현역 임대료,,17.8,11.6,,18.3,11.6
경기도 탄현역 효용비율,,100,65.3,,100,63.7
경기도 파주시청 임대료,,28.5,15.2,,28.5,15.2
경기도 파주시청 효용비율,,100,53.5,,100,53.5
경기도 팔달문로터리 임대료,,74.5,21.5,,74.5,21.5
경기도 팔달문로터리 효용비율,,100,28.9,,100,28.9
경기도 평택역 임대료,,17.5,5.5,,17.5,5.5
경기도 평택역 효용비율,,100,31.7,,100,31.7
강원도 임대료,1.3,12.3,5.6,1.3,12.3,5.6
강원도 효용비율,10.24,100,45.5,10.2,100,45.4
강원도 강릉 임대료,1.9,10.9,5.6,1.9,10.9,5.6
강원도 강릉 효용비율,17.81,100,51.8,17.81,100,51.8
강원도 강릉교동 임대료,,13.3,6.4,,13.3,6.4
강원도 강릉교동 효용비율,,100,47.8,,100,47.8
강원도 삼척중앙시장 임대료,,10.7,5.2,,10.7,5.2
강원도 삼척중앙시장 효용비율,,100,48.7,,100,48.7
강원도 속초중앙시장 임대료,,16.9,6.3,,16.9,6.3
강원도 속초중앙시장 효용비율,,100,37.5,,100,37.5
강원도 영월경찰서 임대료,,12,5,,12,5
강원도 영월경찰서 효용비율,,100,41.8,,100,41.8
강원도 원주 임대료,,19.9,7.6,,20.1,7.6
강원도 원주 효용비율,,100,38,,100,37.8
강원도 춘천 임대료,,12.9,6.4,,12.9,6.4
강원도 춘천 효용비율,,100,50,,100,50
강원도 태백중앙시장 임대료,0,9.6,2.6,0,9.6,2.6
강원도 태백중앙시장 효용비율,0,100,27.3,0,100,27.3
충청북도 임대료,3.1,12.1,5.4,3.1,12.1,5.4
