전체,2015년 1분기 지하1층,2015년 1분기 1층,2015년 1분기 2층,2015년 2분기 지하1층,2015년 2분기 1층,2015년 2분기 2층,2015년 3분기 지하1층,2015년 3분기 1층,2015년 3분기 2층,2015년 4분기 지하1층,2015년 4분기 1층,2015년 4분기 2층,2016년 1분기 지하1층,2016년 1분기 1층,2016년 1분기 2층,2016년 2분기 지하1층,2016년 2분기 1층,2016년 2분기 2층,2016년 3분기 지하1층,2016년 3분기 1층,2016년 3분기 2층,2016년 4분기 지하1층,2016년 4분기 1층,2016년 4분기 2층
동래역 임대료,8.4,33.1,11.1,8.4,33.2,12.7,10.7,33.4,12.8,10.7,33.4,12.8,10.7,33.4,12.8,10.7,33.4,12.8,10.7,33.4,12.8,10.7,33.2,12.7
동래역 효용비율,25.41,100,33.6,25.32,100,38.2,32,100,38.3,32,100,38.3,32,100,38.3,32,100,38.3,32,100,38.3,32.22,100,38.2
사상역 임대료,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.7,7.2,3.9,17.6,7.2
사상역 효용비율,22.04,100,40.8,22.04,100,40.8,22.04,100,40.8,22.04,100,40.8,22.04,100,40.8,22.04,100,40.8,22.04,100,40.8,22.14,100,41
서면 임대료,7.5,32.9,15.8,7.5,32.9,15.8,7.5,32.9,15.8,7.3,32.6,15.4,7.3,32.8,15.4,7.3,32.9,15.4,7.3,33,15.4,7.3,33,15.4
서면 효용비율,22.86,100,48,22.86,100,48,22.86,100,48,22.35,100,47.1,22.24,100,46.9,22.14,100,46.7,22.09,100,46.6,22.09,100,46.6
온천장 임대료,4.7,18,7.4,4.7,18,7.4,4.7,18,7.4,4.7,18.2,7.4,4.7,18.3,7.4,4.7,18.4,7.4,4.7,18.5,7.5,4.7,18.5,7.5
온천장 효용비율,26.06,100,40.8,26.06,100,40.8,26.06,100,40.8,25.77,100,40.3,25.65,100,40.2,25.56,100,40,25.37,100,40.6,25.37,100,40.6
중구시장 임대료,0,44.5,7.6,0,44.5,7.6,0,41.8,7.6,0,41.5,7.5,0,41.5,7.4,0,41.6,7.4,0,42.1,7.4,0,42,7.4
중구시장 효용비율,0,100,17.1,0,100,17.1,0,100,18.2,0,100,18.2,0,100,17.9,0,100,17.8,0,100,17.6,0,100,17.6
해운대 임대료,0,23.1,12.9,0,23.1,12.9,0,23.1,12.9,0,23.1,12.9,0,22.8,12.6,0,22.8,12.6,0,22.8,12.6,0,22.3,12.3
해운대 효용비율,0,100,55.7,0,100,55.7,0,100,55.7,0,100,55.7,0,100,55.3,0,100,55.3,0,100,55.3,0,100,55.3
대구광역시 임대료,4.5,20.7,6.2,4.5,20.7,6.2,4.5,20.6,6.2,4.5,20.7,6.2,4.5,20.7,6.2,4.6,21,6.2,4.6,21.2,6.2,4.6,21.3,6.2
대구광역시 효용비율,21.87,100,30.1,21.86,100,30.1,21.98,100,30.1,21.91,100,30,21.87,100,30,21.83,100,29.4,21.65,100,29.3,21.55,100,29.3
