기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,고양시,1994,문촌마을(뉴삼익),5,주엽로,37800,58.13
2017,7,2131,고양시,1994,문촌마을(뉴삼익),6,주엽로,37000,58.13
2017,7,2131,고양시,1994,강선마을(대우),10,대산로,51500,131.46
2017,7,2131,고양시,1994,강선마을(경남),16,강선로,45700,101.88
2017,7,2131,고양시,1993,강선마을(보성),2,강선로,30000,59.88
2017,7,2131,고양시,1993,강선마을(보성),13,강선로,47500,84.62
2017,7,2131,고양시,1994,문촌마을(신우),9,킨텍스로,41000,73.08
2017,7,2131,고양시,1994,강선마을(동부),6,강선로,51900,133.74
2017,7,2131,고양시,1995,중산마을5(건영),4,탄중로,23200,59.95
2017,7,2131,고양시,1995,중산마을10(동신),3,탄중로,24500,73.98
2017,7,2131,고양시,1996,중산마을9(두산/한성),3,탄중로,29000,101.82
2017,7,2131,고양시,1996,중산마을12(현대),10,탄중로,37000,130.77
2017,7,2131,고양시,1995,중산마을10(경남),2,탄중로,26500,73.98
2017,7,2131,고양시,1995,중산마을2(코오롱),5,고봉로,20400,59.93
2017,7,2131,고양시,2007,하늘마을 5단지,6,하늘마을1로,35000,84.89
2017,7,2131,고양시,1995,중산마을3단지(일신),4,중산로,21500,59.85
2017,7,2131,고양시,1994,호수마을(삼환),6,노루목로,64700,132.33
2017,7,2131,고양시,1994,호수마을(유원),9,노루목로,71000,157.33
2017,7,2131,고양시,1994,호수마을(유원),1,노루목로,55700,132.33
2017,7,2131,고양시,1994,호수마을(롯데),4,노루목로,57400,99.96
2017,7,2131,고양시,1994,호수마을(삼환),8,노루목로,65000,132.33
2017,7,2131,고양시,1994,호수마을(삼환),15,노루목로,65000,132.33
2017,7,2131,고양시,1994,호수마을(현대),3,노루목로,41000,70.14
2017,7,2131,고양시,2008,푸른마을1단지,7,푸른마을로,26000,84.92
2017,7,2131,고양시,2007,하늘마을 5단지,12,하늘마을1로,38000,84.67
2017,7,2131,고양시,2007,하늘마을 5단지,11,하늘마을1로,35000,84.67
2017,7,2131,고양시,1996,중산마을9(두산/한성),6,탄중로,32500,134.06
2017,7,2131,고양시,1995,중산마을10(경남),10,탄중로,28500,84.9
2017,7,2131,고양시,1994,호수마을(유원),8,노루목로,67000,132.33
2017,7,2131,고양시,1994,호수마을(현대),4,노루목로,48000,84.81
2017,7,2131,고양시,1994,호수마을(럭키),4,노루목로,64000,134.94
2017,7,2131,고양시,2010,위시티블루밍5단지,6,위시티1로,47400,101.94
2017,7,2131,고양시,2010,위시티일산자이1단지,18,위시티4로,56000,137.14
2017,7,2131,고양시,2010,위시티일산자이2단지,27,위시티4로,54700,130.07
2017,7,2131,고양시,2002,은행마을2(동문),2,은행마을로,27400,84.33
2017,7,2131,고양시,2010,위시티일산자이2단지,8,위시티4로,53000,115.66
2017,7,2131,고양시,2010,위시티블루밍3단지,20,위시티4로,49400,122.83
2017,7,2131,고양시,2010,위시티블루밍3단지,21,위시티4로,51000,123.08
2017,7,2131,고양시,2010,위시티일산자이2단지,25,위시티4로,70200,163.25
2017,7,2131,고양시,2010,위시티블루밍5단지,9,위시티1로,56000,122.83
2017,7,2131,고양시,2002,산들마을2(대림),6,고봉로278번길,38250,134.93
2017,7,2131,고양시,1995,중산마을10(동신),11,탄중로,28500,84.9
2017,7,2131,고양시,1995,중산마을10(동신),1,탄중로,23000,73.98
2017,7,2131,고양시,2002,산들마을2(대림),3,고봉로278번길,40000,160
2017,7,2131,고양시,1993,강촌마을(한신),4,강송로,59950,134.8
2017,7,2131,고양시,1993,강촌마을(라이프),15,강석로,46000,84.93
2017,7,2131,고양시,1992,강촌마을(동아),7,강송로,43000,84.87
2017,7,2131,고양시,1993,강촌마을(한신),1,강송로,59000,173.58
2017,7,2131,고양시,1992,강촌마을(동아),10,강송로,43000,84.87
2017,7,2131,고양시,1993,강촌마을(한신),6,강송로,63500,173.58
2017,7,2131,고양시,1993,강촌마을(한신),19,강송로,64500,173.58
2017,7,2131,고양시,1993,강촌마을(미도파),15,강송로,63500,165.99
2017,7,2131,고양시,1993,강촌마을(라이프),15,강석로,46800,84.84
2017,7,2131,고양시,1994,백마마을(한성),2,경의로,24800,50.16
2017,7,2131,고양시,1992,강촌마을(동아),15,강송로,65000,154.02
2017,7,2131,고양시,1994,백마마을(청구),2,강촌로,45000,101
2017,7,2131,고양시,1994,백마마을(한양4),4,강촌로,45000,101.82
2017,7,2131,고양시,1992,강촌마을(동아),2,강송로,42200,84.87
2017,7,2131,고양시,1992,강촌마을(동아),12,강송로,47000,84.96
2017,7,2131,고양시,1994,백마마을(쌍용),13,경의로,40000,84.88
2017,7,2131,고양시,1992,강촌마을(동아),11,강송로,49000,84.96
2017,7,2131,고양시,1993,백마마을(삼성),2,일산로,49000,101.91
2017,7,2131,고양시,1993,강촌마을(우방),9,강송로,47300,84.94
2017,7,2131,고양시,2005,동문(189-0),6,공릉천로,23500,84.62
2017,7,2131,고양시,2005,동문(189-0),7,공릉천로,22800,84.62
2017,7,2131,고양시,1989,현대그린,1,성현로,6700,38.52
2017,7,2131,고양시,1989,현대그린,3,성현로,6700,38.52
2017,7,2131,고양시,1989,현대그린,4,성현로,6600,38.52
2017,7,2131,고양시,2010,위시티블루밍5단지,23,위시티1로,46500,101.94
2017,7,2131,고양시,1995,중산마을2(코오롱),5,고봉로,21500,59.93
2017,7,2131,고양시,2006,숲속마을8단지,12,숲속마을1로,26000,51.93
2017,7,2131,고양시,2002,은행마을1(동문),8,은행마을로,27500,72.63
2017,7,2131,고양시,1985,미도,5,원당로125번길,10450,51.3
2017,7,2131,고양시,1999,벽산,12,마상로57번길,19700,59.97
2017,7,2131,고양시,1987,삼림(561-1),1,원당로125번길,10700,47.49
2017,7,2131,고양시,2015,신원마을 1단지 우남퍼스트빌,21,통일로,41000,74.67
2017,7,2131,고양시,2012,A9블럭 신원마을 호반베르디움,11,권율대로,44800,84.95
2017,7,2131,고양시,2015,신원마을 1단지 우남퍼스트빌,22,통일로,42000,74.67
2017,7,2131,고양시,2013,삼송힐스테이트,12,신원로,46000,84.77
2017,7,2131,고양시,2012,A9블럭 신원마을 호반베르디움,11,권율대로,57000,106.37
2017,7,2131,고양시,2013,신원마을5단지 우림필유아파트,12,신원로,35000,99.47
2017,7,2131,고양시,1997,일신건영아파트,16,화신로,43000,134.82
2017,7,2131,고양시,1996,햇빛주공23,17,화신로,25000,59.97
2017,7,2131,고양시,1994,무원마을(신안)8,13,무원로,40800,118
2017,7,2131,고양시,1997,햇빛마을주공20,7,충장로152번길,25000,59.98
2017,7,2131,고양시,1995,소만마을9단지,15,소만로,20250,43.76
2017,7,2131,고양시,1995,소만마을1단지,15,충경로,20750,45.48
2017,7,2131,고양시,1996,햇빛주공23,8,화신로,24900,59.97
2017,7,2131,고양시,1995,소만마을9단지,12,소만로,20350,43.76
2017,7,2131,고양시,1997,햇빛마을주공20,4,충장로152번길,18100,39.99
2017,7,2131,고양시,1998,햇빛주공(18-2),5,중앙로558번길,33000,84.79
2017,7,2131,고양시,1998,행신동문,8,행신로325번길,21750,58.99
2017,7,2131,고양시,1998,햇빛주공(18-1),13,성신로,33000,84.79
